DEP,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
"0",2000.00000,0.00000,2331.67041,52147.12109,145.66667,217.33333,-0.81906,2.31931,0.31762,4.29521,8970.11523
"0",2000.00000,531.70270,737.33893,93357.35938,155.66667,120.66666,0.19150,3.48711,0.42427,4.55788,2432.10107
"0",2000.00000,5931.79883,0.00000,25060.84766,130.66667,33.66667,-0.67081,3.49368,0.37304,4.11880,23254.13281
"0",2000.00000,7520.85742,294.93558,27799.53516,85.00000,80.00000,-0.54504,3.15583,0.29440,4.28755,0.00000
"0",2000.00000,5456.30811,5317.02686,33576.05469,133.33333,128.66667,-0.93736,2.24502,0.00808,3.88051,3135.20825
"0",2000.00000,7664.06982,7519.41113,29962.46484,157.66667,147.00000,-0.76406,2.37945,-0.09436,3.95223,7904.32861
"0",2000.00000,944.25458,12003.00879,35076.26172,127.33334,125.33334,-0.77538,2.69487,0.73772,4.29183,22069.48047
"0",2000.00000,6831.43652,3904.41675,7726.24268,109.00000,224.00000,0.45912,2.98641,1.03464,5.35364,3166.26782
"0",2000.00000,7391.06445,11005.87988,25339.15430,148.66667,126.33334,-0.41535,2.99022,0.25269,4.74231,7391.06445
"0",2000.00000,1179.74231,2053.98853,40141.85938,121.33334,74.00000,-0.67094,2.24798,-0.16481,4.31112,10853.66895
"0",2000.00000,7391.06445,8019.04834,28019.26758,162.66667,136.66667,-0.56474,3.07849,0.64439,4.54283,7321.59375
"0",2000.00000,147.46779,12931.84082,11536.46875,162.66667,92.66666,-1.17688,2.55357,-0.19195,3.87685,22740.66211
"0",2000.00000,10000.00000,6273.88379,50979.72266,97.00000,33.66667,-0.11007,3.19158,0.40748,4.09335,4902.05664
"0",2000.00000,10000.00000,6594.95996,46074.65625,85.00000,114.66666,-0.67927,2.37791,-0.23213,4.06503,3190.21606
"0",2000.00000,10000.00000,3135.20825,1539.60889,130.66667,118.00000,-0.86665,2.57543,-0.31397,3.81459,8441.80664
"0",2000.00000,10000.00000,7975.54004,66698.82031,102.66666,134.33333,-0.29048,2.82712,0.40327,4.57904,6995.01123
"0",2000.00000,0.00000,10193.42773,13226.96484,162.66667,181.00000,-0.95340,2.90611,0.38039,3.82297,20243.94922
"0",2000.00000,6110.57813,7618.53467,21996.93555,101.33334,100.33334,-0.73615,2.86929,0.07903,4.46548,12534.76172
"0",2000.00000,2441.02637,11363.63477,2897.28223,121.33334,113.00000,-1.05150,2.77232,0.14879,3.98575,2331.67041
"0",2000.00000,1391.20837,10028.89355,41148.53516,85.00000,55.00000,-1.05189,2.79667,-0.04634,3.76481,329.74799
"0",2000.00000,294.93558,147.46779,47338.07813,170.00000,215.33333,-0.71169,2.62566,-0.02599,4.41733,8584.85449
"0",2000.00000,8110.72852,7838.02051,21627.54688,170.00000,135.00000,0.96291,3.64403,1.48012,5.71367,8589.91992
"0",1151.76025,294.93558,6299.82666,17384.94531,155.66667,157.00000,-0.55528,2.87238,0.84247,4.27734,884.80676
"0",2000.00000,417.10190,9550.17578,26308.84961,121.33334,40.33333,-1.12184,2.62896,-0.42003,3.87616,9711.62402
"0",2000.00000,5951.92871,2848.07617,39678.70313,145.00000,71.33334,-0.40606,3.02089,0.78609,4.46596,1588.27673
"0",2000.00000,6809.11670,2359.48462,12419.72949,103.33334,33.00000,-0.81706,2.85536,0.09319,4.02854,6287.73340
"0",2000.00000,0.00000,3870.85400,24618.28906,109.00000,93.33334,-1.23104,2.60168,-0.36138,3.81611,7815.79297
"0",2000.00000,0.00000,4317.05518,75011.68750,141.66667,44.66667,-0.64586,3.54770,0.56595,4.36988,10427.54688
"0",2000.00000,10000.00000,932.66821,41430.05078,85.00000,170.33333,-0.52439,2.81858,0.12546,4.29219,14912.48633
"0",2000.00000,5988.35449,4721.27295,13257.34570,106.00000,174.00000,1.09245,3.61000,1.75547,6.20903,14920.50488
"0",2000.00000,0.00000,0.00000,43527.98438,157.66667,162.33333,-0.69461,2.67361,-0.09820,4.25928,9629.54492
"0",2000.00000,7869.86279,1391.20837,2836.59961,118.00000,167.00000,0.46889,3.79164,1.03953,5.19607,3859.60132
"0",2000.00000,10000.00000,2848.07617,19266.42773,106.00000,210.66667,-0.84168,2.89551,0.42641,4.51510,13292.56641
"0",2000.00000,5329.28271,2212.01685,65094.96094,109.00000,134.66667,-0.87947,2.77143,0.02373,4.10609,10845.65137
"0",2000.00000,1123.08118,1042.75476,107055.62500,155.66667,135.66667,-0.19820,3.30404,0.50832,4.12521,6342.82959
"0",2000.00000,0.00000,208.55095,25155.25586,121.33334,33.00000,-0.10502,2.56074,0.46836,3.88583,1648.73999
"0",2000.00000,294.93558,5093.51270,61199.30859,145.66667,161.66667,-0.55198,3.14861,0.18515,4.39520,15456.00293
"0",2000.00000,7067.69287,4027.78784,21405.19141,103.33334,72.66666,-0.61521,2.89485,0.18863,4.19798,5848.72949
"0",2000.00000,10000.00000,1648.73999,70106.93750,121.33334,112.00000,-0.36229,3.00032,0.31906,4.09416,10846.65430
"0",2000.00000,4902.05664,4830.55518,73633.84375,85.00000,128.00000,-0.52153,3.30229,0.76559,4.33757,7698.04443
"0",2000.00000,0.00000,5067.83105,15461.62988,210.33333,33.00000,-1.31441,2.62629,-0.18351,3.41632,2817.36816
"0",2000.00000,6402.54785,15042.43750,25741.05078,141.66667,33.66667,-1.74067,2.52374,0.33126,3.27947,944.25458
"0",1865.33643,0.00000,4113.26758,18407.50000,162.66667,117.33334,-0.12636,2.59005,0.37083,4.46932,15927.20410
"0",2000.00000,9214.08203,5129.67480,11416.14063,106.00000,200.33333,0.50464,3.20461,1.47193,5.80229,14749.72754
"0",2000.00000,10000.00000,7924.93604,67136.72656,102.66666,119.33334,-0.40119,2.75136,0.43903,4.69039,5527.58350
"0",2000.00000,794.13837,9442.54590,24923.80078,106.00000,144.33333,-0.45080,2.79093,0.31488,4.03623,35980.32813
"0",2000.00000,1503.88232,1474.67786,26965.64453,155.66667,143.33333,-0.38922,2.91278,0.96921,5.01549,1668.40759
"0",2000.00000,10000.00000,2048.68799,53492.60547,121.33334,137.66667,-0.80921,2.77586,0.37878,4.38708,12160.50586
"0",2000.00000,10000.00000,4485.05762,43455.98438,120.33334,175.33333,-0.32702,2.92819,0.10588,4.31791,147.46779
"0",2000.00000,0.00000,15339.48535,5944.61670,145.00000,98.66666,-0.64740,3.00134,0.25670,3.99467,16561.75586
"0",2000.00000,0.00000,7690.97900,4616.47217,130.66667,54.66667,-0.16951,2.70401,1.41154,4.15742,21322.23047
"0",2000.00000,0.00000,2707.14868,46674.89453,148.66667,95.33334,-0.56870,2.41226,0.14301,4.32332,8116.08887
"0",2000.00000,7963.26074,2506.95239,29021.19531,141.66667,196.00000,-0.44707,2.76494,0.22056,4.07749,32919.68750
"0",2000.00000,10000.00000,3036.54761,44344.67188,148.66667,139.66667,-0.66506,2.91668,0.42152,4.41687,5310.88818
"0",2000.00000,0.00000,8133.48682,32593.38477,118.00000,36.66667,-0.56421,2.73524,0.30745,3.29357,30344.34180
"0",2000.00000,0.00000,2801.88794,9256.46777,109.00000,33.00000,-0.84648,2.16675,-0.05427,3.79294,7323.07861
"0",2000.00000,0.00000,608.02527,92821.45313,155.66667,162.00000,0.13947,3.45472,0.01747,4.51577,4419.11523
"0",1188.92334,10000.00000,1032.27454,69121.34375,101.33334,33.00000,-0.49020,2.86995,0.50032,4.64889,6594.95996
"0",2000.00000,10000.00000,7090.73242,27576.87109,133.33333,195.00000,-0.73882,3.04499,0.22607,4.45218,21980.12305
"0",2000.00000,1847.76611,17698.59180,6223.42041,145.00000,146.00000,-0.09318,2.88429,0.81292,4.40051,14522.39551
"0",2000.00000,0.00000,7049.20703,6818.69092,133.33333,129.66667,-0.01075,2.74209,0.54954,4.23337,21129.61719
"0",2000.00000,0.00000,20801.84570,52233.58203,130.66667,113.33334,-0.64804,2.55316,0.04229,4.10801,8133.48682
"0",2000.00000,0.00000,3257.66992,26459.68359,134.33333,55.33333,-0.33132,2.92898,0.59317,4.78868,13090.62207
"0",2000.00000,0.00000,2111.41748,94707.96875,155.66667,189.33333,0.15810,3.46230,0.50334,4.47296,2519.93066
"0",2000.00000,0.00000,7230.43457,30454.86523,151.66667,62.33333,0.21047,2.77364,0.25912,4.43265,25115.02344
"0",737.33893,10000.00000,6585.06006,48545.35547,127.33334,33.00000,-0.72603,2.84711,0.12890,4.04880,10852.66699
"0",2000.00000,0.00000,7554.03662,28863.02930,109.00000,47.66667,-0.20171,2.77728,0.17840,3.43902,30643.86328
"0",2000.00000,10000.00000,12360.05273,54887.54297,145.00000,190.66667,-0.32667,2.66679,-0.12464,4.11187,1042.75476
"0",2000.00000,10000.00000,294.93558,9229.41016,106.00000,177.00000,-0.15574,2.89873,1.06482,4.64820,3695.53223
"0",2000.00000,0.00000,25409.85938,51983.39063,134.33333,148.00000,-0.87313,2.54795,0.11827,4.10760,6468.44238
"0",2000.00000,2246.16235,2216.92700,14123.84277,133.33333,101.00000,-0.79292,2.64688,0.34142,4.50315,11673.26563
"0",2000.00000,5456.30811,4616.47217,52425.99219,101.33334,155.33333,-0.15654,3.01565,0.61311,3.86930,17434.90820
"0",2000.00000,2953.04028,147.46779,10989.07129,118.00000,150.33333,0.27859,3.21374,0.15519,5.24564,608.02527
"0",2000.00000,147.46779,147.46779,8641.66309,109.00000,181.33333,-0.45410,2.75868,0.37955,4.39135,3079.21777
"0",2000.00000,0.00000,294.93558,41562.11719,145.66667,164.66667,-0.76202,2.89141,-0.09123,4.24989,11055.16699
"0",2000.00000,10000.00000,7334.94775,50746.49219,170.00000,41.33333,-0.14202,3.25557,0.36520,4.18677,3642.18579
"0",2000.00000,7584.20410,5464.27344,147.46779,170.00000,217.33333,-0.69927,2.95636,0.06808,4.99408,3791.38501
"0",2000.00000,10000.00000,4171.01904,16337.67383,109.00000,158.66667,-0.55551,2.71125,0.43194,4.29921,14184.53125
"0",208.55095,1978.48804,3297.47998,20721.19141,145.00000,33.66667,-0.93072,2.58433,0.48252,4.14054,1888.50916
"0",2000.00000,417.10190,329.74799,13849.41602,120.33334,28.00000,-0.01359,2.63777,0.15754,4.08038,18288.38477
"0",2000.00000,0.00000,7311.19043,17588.27734,130.66667,96.66666,-0.58253,2.39664,-0.02223,4.25898,2743.05933
"0",2000.00000,0.00000,7850.49609,54479.32031,157.66667,137.66667,-0.46336,2.47764,0.20410,4.44076,4377.08643
"0",2000.00000,4057.37451,1865.33643,1399.00232,162.66667,44.66667,0.75629,3.59610,1.01977,5.49091,6449.92480
"0",2000.00000,5211.68750,147.46779,2053.98853,118.00000,158.33333,-0.96563,2.65792,0.31028,3.70316,7716.38525
"0",2000.00000,10000.00000,147.46779,48182.49219,127.33334,36.66667,-0.47307,2.84317,0.14425,4.33159,6260.00342
"0",2000.00000,4554.82129,28680.49414,9804.11328,130.66667,84.66666,-0.19879,2.76195,0.22268,4.76192,12600.51660
