DEP,PC8,PC7,PC6,PC5,PC4,PC3,PC2,PC1
"1",1.43160,-0.36601,1.81280,1.97802,-1.74214,-0.84060,0.52507,-0.05020
"1",1.38769,-0.36567,1.86063,1.22362,-1.74941,-0.91901,0.41601,-0.14127
"1",1.29591,-0.32295,1.86673,1.21308,-1.72680,-0.91327,0.31376,0.05348
"1",-0.45086,0.41550,-1.15660,1.23198,-1.44829,0.13119,-1.16002,0.03697
"1",0.33770,0.24002,-0.83569,0.49758,-1.54721,-0.21109,0.51135,0.19330
"0",0.43714,0.00494,2.08269,1.15229,-0.78109,-1.03767,-1.12001,-0.05484
"1",-0.44605,0.97787,-0.64213,0.70965,-1.16829,0.32147,-1.86428,0.02473
"1",-0.36197,0.48304,-0.50180,0.79682,-1.12432,0.68671,-1.82939,0.06288
"1",-0.54782,0.51772,-0.86553,0.66146,-1.41924,-0.18811,-1.09256,0.09721
"1",-0.49219,0.36894,-0.76492,0.70192,-1.35832,0.04097,-1.24012,-0.09947
"1",-0.41654,0.45039,-1.16538,1.24163,-1.46326,0.11958,-1.20963,-0.10710
"1",-0.57300,0.23535,-0.37025,0.18618,-1.22721,0.00309,-1.21566,-0.19258
"1",-0.83654,0.43857,-0.28520,0.19653,-0.70589,0.50203,-1.06786,0.03220
"1",-1.00580,0.08145,-0.21829,0.30621,-0.61367,0.82495,-1.15832,-0.09294
"1",-1.01604,-0.09815,0.57496,-0.72672,-0.48004,0.63905,-1.22623,-0.14199
"1",-0.64038,0.74766,-0.76155,0.69399,-0.95049,0.37014,-0.88397,-0.04899
"1",-0.77707,0.43846,-0.85408,1.08270,-0.87185,0.78472,-1.13484,0.14219
"1",-0.73025,0.50213,-0.88072,1.08202,-0.89283,0.73163,-1.10923,-0.01109
"1",-0.77912,0.42893,-0.85423,1.08043,-0.87805,0.77745,-1.12961,0.16744
"1",-0.75299,0.46340,-0.86811,1.07666,-0.89518,0.74159,-1.11406,0.11476
"1",-0.77689,0.42235,-0.63635,0.79311,-0.80865,0.73396,-1.17707,-0.14419
"1",1.84313,-0.29066,2.10713,2.66294,-1.89809,-1.19599,0.89008,0.11342
"0",0.80679,-0.12747,1.12658,1.35275,-0.78687,-0.57390,-1.55188,-0.20073
"0",0.43064,0.19955,1.82585,1.56358,-1.06210,-0.93683,-1.15868,-0.01421
"0",0.72138,-0.21988,1.80793,0.38840,-0.22669,-0.72361,-2.10606,-0.37519
"0",1.03443,0.28018,2.61107,2.95976,-1.09147,0.22310,-1.81939,0.05111
"0",0.61718,-1.08652,-0.07424,0.25790,-1.55902,0.20713,0.83221,-0.18533
"0",0.45483,0.77275,0.71027,-0.22579,-0.79488,0.12640,0.69731,0.05502
"1",1.15571,0.95480,0.65536,-0.53237,-0.19908,1.14739,-1.35824,-0.05755
"0",0.01520,0.53782,0.66538,-2.68898,1.38207,-1.56478,0.30605,-0.18404
"1",-0.84078,0.41071,-0.24309,0.20937,-0.71996,0.58907,-1.11840,0.03654
"1",-0.16908,0.06830,-0.39988,0.13274,-1.43666,-0.22404,-0.46282,0.06402
"1",-0.62835,0.36457,0.25135,-0.89362,-1.26692,-0.58380,-1.33890,-0.14640
"1",0.08289,-0.30975,-0.45449,0.19903,-1.42247,-0.42305,-0.99884,-0.14859
"1",-1.05326,-0.41398,-0.55449,-0.26474,-0.25530,-0.50086,0.31714,-0.09315
"0",1.24290,-0.17337,-0.57885,-0.68828,0.96559,-1.20865,-0.04785,0.07354
"1",0.20380,0.72855,-0.54775,0.64391,-1.30967,0.41241,-0.99212,0.11672
"0",-0.02179,-0.23350,0.16346,-1.00528,-1.49113,-0.83942,0.49089,-0.24738
"1",0.53580,-2.28462,-0.57601,1.26871,-0.67880,2.14375,3.17651,0.29278
"0",0.27579,-0.65139,-0.31644,-0.91612,-1.59367,-1.28845,2.58748,0.13836
"1",0.17565,-1.22483,0.73005,-3.05087,-1.14988,-2.07186,5.51562,0.03116
"1",-0.07282,-1.06413,-0.49198,-0.45557,-1.70237,-1.13838,2.23956,-0.00135
"1",-0.84353,-0.35097,0.18699,-0.61292,-1.03717,-0.15278,-0.70873,-0.09751
"1",0.22577,-0.71415,1.77803,2.40067,-1.28403,-1.11962,1.10052,0.09122
"1",-0.43765,-0.59565,0.21037,-0.22563,-1.37327,-0.75011,0.22680,-0.25347
"0",0.15549,0.35373,-0.87277,-0.56829,1.49075,-1.20153,-0.35424,0.00658
"0",0.74355,-0.71370,0.38647,-1.14461,-0.81614,-0.67281,0.05635,-0.07794
"0",-0.01711,0.06424,-0.23311,-0.15143,-1.15949,-0.33476,-0.70669,-0.10688
"0",0.06958,0.29311,-0.06621,-0.26509,-1.06260,-0.08351,-0.64191,-0.18201
"0",-0.35928,-0.78324,0.09933,-1.19365,-1.23314,-1.23787,0.95097,-0.27213
"1",0.38671,-1.09519,-1.31711,1.12877,-1.04659,-0.09277,1.47373,0.35862
"1",0.15303,-0.67051,0.71106,-0.29032,-0.85321,0.12987,1.56578,-0.07445
"1",-1.64541,-1.11595,-0.23712,-0.11072,-0.52918,0.32825,0.51173,-0.06084
"1",-0.75317,-0.71065,-0.08429,-0.15529,-1.04871,0.10006,-0.26203,-0.24147
"0",-0.58310,-0.23658,1.22930,0.64013,-0.72010,-0.94623,-0.67215,-0.05397
"0",0.31228,0.03269,0.06009,-0.69485,-0.64096,-0.55790,-0.78349,-0.09263
"0",-0.00974,0.01342,-0.14351,-0.20956,-0.74708,-0.12013,-0.80609,-0.27109
"1",-0.38028,0.59591,-0.57953,0.26194,-0.84616,0.32159,0.38384,0.10513
"0",-0.50259,0.47832,-0.56363,-0.21800,-0.57899,-0.64820,-0.53201,-0.06723
"1",-1.14553,0.23959,0.26936,-0.61147,-0.41726,0.50812,-0.75779,-0.07396
"1",-0.77115,-0.53175,-0.06537,-0.59368,-1.33751,-0.76523,-0.05244,-0.06813
"0",0.50320,-0.30180,1.54725,-2.75053,1.76408,-0.33955,-1.45016,-0.35923
"0",-0.21279,2.54853,-1.52704,0.86550,0.43406,0.47531,1.49457,0.28376
"0",-0.11041,0.91877,-0.54775,-0.65943,0.52869,-0.73093,0.38447,0.06694
"0",-0.58176,1.63608,-1.95470,0.39599,1.73536,-0.79218,1.84651,0.13131
"0",0.22446,0.57842,-0.05485,-1.00261,0.07770,-0.69195,-0.13406,-0.21833
"0",0.52383,0.47907,0.16153,-1.26287,-0.14316,-0.72802,0.29207,-0.11319
"1",0.29400,0.21199,0.06437,-0.79180,0.39011,1.20141,4.52437,0.00245
"1",-0.12218,-0.26744,-0.80590,1.11162,1.23676,2.87473,4.13483,0.37365
"1",-0.71338,-0.45727,0.01866,-0.69381,-1.32777,-0.72190,-0.13219,-0.04826
"1",-0.58327,-0.57387,0.09586,-0.50763,-1.34445,-0.45757,-0.57807,-0.08618
"0",0.24052,0.67647,-0.75416,-0.77731,1.29070,-1.23915,0.30160,0.10467
"0",1.13566,0.06378,-1.24793,0.45177,0.87392,-0.80830,-0.87185,0.20877
"0",1.06128,0.09542,-1.20980,0.13423,0.87669,-1.14697,-0.41809,0.04336
"0",0.86967,-0.34631,-0.33621,-0.99878,1.22145,-1.14463,-0.12193,-0.19620
"0",0.98986,0.13992,-0.87756,-0.16514,0.55403,-1.02338,-0.28987,0.11361
"1",-0.62628,0.24645,-0.09076,0.02418,-0.79548,0.54191,-0.91581,-0.03291
"0",-0.38862,-1.22639,-0.71250,0.94296,-0.79469,0.97167,0.92621,0.12398
"1",-0.74879,0.43932,-0.89738,0.65083,-1.23273,-0.11231,-0.74677,-0.02223
"0",-0.58906,-0.09555,0.54837,-0.96704,-0.71941,0.06237,-1.09528,-0.21225
"1",-0.27620,-0.21113,-0.33390,0.30680,-1.31161,0.17712,-0.81749,-0.16767
"1",1.11899,-0.63410,-0.45040,-0.14211,-1.95269,-0.59969,2.19100,0.21483
