DEP,PC9,PC8,PC7,PC6,PC5,PC4,PC3,PC2,PC1
1,-0.00157,-0.05413,0.63063,-0.76417,-0.88773,-0.60622,-1.13762,-1.87472,0.1897
1,0.0023,0.10385,0.53782,0.8104,-0.99808,-2.19937,-1.85826,-4.82436,0.45356
1,0.00091,0.09608,0.33579,0.21266,0.52135,-1.52628,0.30587,1.23198,0.00983
1,0.00043,-0.13646,0.27483,0.0042,0.53641,-1.14092,0.04949,1.40001,0.10996
1,0.00026,-0.16598,0.01855,0.15979,0.15619,-1.10283,0.27264,1.34704,0.12017
1,0.0007,-0.16888,0.20493,0.28989,0.48371,-1.74309,0.50219,1.31174,0.21937
1,0.0009,0.13984,0.33871,0.25381,0.49718,-1.14042,0.24751,1.2469,-0.07371
1,0.00067,-0.00141,0.2027,0.27426,0.48102,-1.50723,0.40889,1.3056,0.06907
1,-0.00091,-0.14574,0.33871,-0.50686,-0.2732,-1.13365,-0.65283,0.30465,0.17506
1,0.00153,0.32861,0.4065,-0.42926,-1.10977,-0.76493,-1.57874,-2.03713,-0.07446
1,0.00203,-0.14622,0.46821,-1.67299,-1.87549,-0.63434,-0.99032,-0.63114,0.16051
1,0.0018,-0.16542,0.14652,-1.36831,-1.60882,0.14833,-0.9965,0.11517,0.01372
1,0.00192,0.12121,0.09986,-1.4946,-1.73326,-0.87136,-0.6419,-0.12953,-0.03563
1,0.00189,0.11794,0.04268,-1.50027,-1.67771,-0.63655,-0.80862,-0.06184,-0.07182
1,0.00182,-0.16081,0.15971,-1.41206,-1.61666,-0.24706,-0.90182,0.05693,0.06787
1,0.00008,0.07959,0.45574,-0.03289,0.2474,-1.9395,-0.41204,1.29292,0.05852
1,-0.00038,-0.13209,0.79255,-0.66889,-0.27922,-1.23678,-0.82168,-0.38899,0.23755
1,-0.00023,0.01916,0.20489,-0.38047,0.75317,-1.82273,-0.06357,1.99338,0.04905
1,-0.00033,-0.15864,0.20651,-0.15238,0.23289,-1.13529,0.18747,1.97452,0.08216
1,-0.00031,-0.11236,0.58036,-0.04967,0.31666,-1.31088,-0.72913,1.31265,0.11112
1,0.00007,0.14351,0.53292,0.0116,0.19723,-1.2777,-0.52325,1.36876,-0.07886
1,0.00005,0.25797,0.44842,-0.04795,0.25733,-1.95435,-0.42646,1.28508,-0.06563
1,0.00023,-0.01431,0.48752,0.14451,0.09238,-0.60377,-0.56173,1.34284,-0.05682
1,0.0006,-0.16776,0.22406,0.33342,0.46059,-0.44253,0.10078,1.21888,0.05044
1,0.00078,0.00758,0.49673,0.65058,0.24414,-0.47005,0.42661,1.28282,-0.07025
1,0.00024,-0.17118,0.00667,0.69614,-0.0072,1.07487,0.13195,1.38991,-0.17021
1,0.0003,0.15511,0.34369,0.03316,0.67303,-1.16985,-0.07132,1.00315,-0.06287
1,0.00096,-0.13008,0.36074,0.29221,0.48024,-1.50367,0.3797,1.26683,0.16521
1,0.00091,0.06732,0.34391,0.26852,0.48761,-1.13504,0.25579,1.25272,-0.02343
1,0.00096,-0.16579,0.35917,0.28359,0.47963,-1.50419,0.35923,1.25999,0.19076
1,0.00095,-0.11301,0.35171,0.2581,0.49183,-1.51044,0.3332,1.24877,0.15476
1,0.00063,0.19741,0.20152,0.29856,0.45843,-1.13699,0.32419,1.30426,-0.12167
1,0.00202,0.12424,0.4596,-1.81955,-1.8888,-1.28157,-0.80491,-0.57304,0.05255
1,0.00172,-0.22868,0.01575,-1.58915,0.12921,0.76261,0.89967,1.41418,-0.05007
1,0.00036,-0.1732,0.19125,0.3193,0.38734,-0.43131,0.17658,1.2617,0.04968
1,-0.00044,-0.17964,-0.63885,-0.15347,-0.25041,-0.65832,-0.83841,0.58436,0.08915
1,-0.00031,-0.14316,0.78554,0.07962,0.15621,0.57668,-1.26384,1.45295,-0.12905
1,-0.0002,0.12062,-0.07411,-0.15889,-0.61396,-0.75016,-0.97569,1.09013,-0.14522
1,0.00001,0.09148,0.26707,1.0844,0.10918,-0.17514,-0.72999,-0.34001,-0.08521
1,-0.0009,-0.17768,-0.11343,-0.80113,0.20936,-1.766,-0.0111,1.03641,0.24108
1,-0.00115,-0.04033,-0.01735,0.39268,-2.4545,-1.5306,1.88089,-3.05275,0.38289
1,0.00109,-0.19217,-0.08038,0.15318,-1.49941,2.45746,-2.78733,-5.51945,0.08607
1,0.0018,0.15957,-0.98595,0.31216,-1.29677,-0.10335,-1.86584,-2.18133,-0.07757
1,-0.00021,-0.15165,-0.0598,0.64146,-0.31672,0.36387,-0.72929,0.82013,-0.07476
1,-0.00019,0.12144,-0.2787,-0.20711,-1.4794,-1.10361,-0.60069,-0.60564,0.01007
1,-0.00032,0.18933,-0.5566,0.37587,-0.76576,-0.01652,-1.25518,-0.08732,-0.22864
1,-0.00016,-0.18428,-0.93267,0.15275,-1.23271,-1.26395,-0.50918,-1.43474,0.29387
1,0.0004,0.01737,-0.37051,-0.09463,-1.04271,0.43194,-0.19066,-1.40678,-0.04525
1,-0.00123,0.01532,0.1877,1.7625,-0.45099,-0.59721,0.03327,-0.43345,0.02586
1,-0.00082,0.07473,-0.18949,0.74907,-0.63962,-0.28768,-0.39823,0.37155,-0.12186
1,0.00024,-0.07211,0.68141,-0.13628,0.44065,-0.71818,-0.12963,-0.27927,0.13655
1,-0.00102,-0.15489,1.03192,0.6924,0.4319,0.57346,0.08156,0.86477,-0.0504
1,-0.00107,-0.15244,-1.46752,0.66163,-0.5085,0.11823,-1.40548,0.15164,-0.0432
1,0.00027,0.19039,0.47096,-0.38896,0.02088,0.71993,1.08764,-4.506,0.07955
1,-0.00201,0.21072,-0.08325,0.3826,0.09435,-1.07484,3.21045,-4.13382,0.29186
1,-0.00063,-0.18832,-0.82629,0.56448,-0.48389,0.24882,-1.3721,0.23321,-0.02355
1,-0.00111,-0.18225,-1.65314,0.50025,-0.66085,0.14633,-1.09365,0.69237,-0.0631
1,-0.00082,-0.11012,0.17178,0.21365,0.17778,-0.22587,0.07595,1.03897,-0.00913
1,-0.00033,0.08092,0.44679,0.23429,0.42342,-1.28601,-0.64666,0.8615,0.00031
1,-0.00063,0.14045,-0.21468,0.07547,-0.44231,-0.72312,-0.38901,0.94632,-0.14329
1,-0.0015,-0.15557,0.0451,-1.00834,-1.53754,-0.66341,-1.42108,-2.33984,0.27549
0,0.00029,0.03638,0.29177,-0.0452,-0.10739,-1.43884,-0.34954,-0.25199,0.12639
0,0.00069,-0.15506,0.58663,-0.47836,0.21243,-0.19013,-0.8023,0.17634,0.07937
0,-0.00126,0.11978,0.83914,-0.08701,-0.10944,-0.30455,0.72952,0.16313,-0.07325
0,-0.00037,0.19412,0.63596,-0.70329,-0.25718,-1.15931,-0.20321,-0.27238,-0.00304
0,0.00035,-0.09216,0.1385,-0.05899,0.51817,-1.15394,-0.17021,0.39522,0.14514
0,0.00043,0.11996,0.4338,-0.19268,0.2897,-0.20196,-0.69773,-0.04051,-0.10192
0,0.00226,-0.10934,0.26747,-0.02096,0.27926,0.30401,-0.94107,-0.25263,-0.00227
0,0.00042,-0.04013,-0.02976,0.17394,1.20841,-1.20715,-0.67916,-0.57329,0.17897
0,0.00113,-0.0478,-0.41478,0.40754,0.72268,-0.19291,-0.13066,-0.90267,0.06733
0,0.00024,0.06386,0.33357,1.07183,0.0329,0.23149,-0.03918,0.09418,-0.13761
0,0.00022,0.21989,-0.05347,0.47394,0.25678,-0.10519,-0.68906,-0.68732,-0.15912
