DEP,PC11 (1),PC10 (1),PC9 (1),PC8 (1),PC7 (1),PC6 (1),PC5 (1),PC4 (1),PC3 (1),PC2 (1),PC1 (2)
"1",-0.00023,-0.05360,0.44123,-0.62165,0.97407,0.41998,-0.99837,-0.42453,-0.18273,-2.10324,-0.25959
"0",0.00127,0.09650,-0.08976,1.00071,-0.61779,-0.06791,-0.54649,-1.21642,-0.73337,0.16294,-0.16722
"0",0.00144,-0.13206,-0.12025,1.02339,-0.56708,-0.18070,-0.34336,-1.34985,-0.67440,0.11250,0.02194
"0",0.00179,-0.07902,-0.13478,0.69696,-0.50656,0.05513,-0.64707,-1.33173,-0.64763,0.10803,-0.06865
"0",0.00182,-0.15695,-0.13006,0.97481,-0.63475,-0.17062,-0.32822,-1.23011,-0.58393,0.12624,0.03922
"0",0.00139,-0.10254,-0.07842,1.06441,-0.60191,0.03609,-0.54266,-1.33396,-0.59122,0.02758,-0.04143
"0",0.00178,-0.05693,-0.10548,0.81086,-0.65657,0.21060,-0.74396,-1.40615,-0.53855,0.19334,-0.10235
"0",0.00135,-0.12154,-0.01694,0.83525,-0.58602,0.21293,-0.75177,-1.42978,-0.56226,0.10397,-0.05918
"0",0.00175,-0.10886,-0.11975,0.71808,-0.60154,0.53734,-1.17502,-1.58334,-0.65143,0.20211,-0.13632
"0",0.00186,0.06903,-0.14235,1.03577,-0.70284,-0.11132,-0.65589,-0.71065,-0.85190,0.16527,-0.15768
"0",0.00178,0.00807,-0.18907,1.21102,-0.62493,-0.35942,-0.29598,-0.77336,-0.81175,0.03754,-0.06383
"0",0.00249,0.13020,0.02045,0.89883,-0.49285,-0.08384,-0.64306,-0.88611,-0.78342,0.08225,-0.20207
"0",0.00246,0.10057,-0.02259,0.95048,-0.52273,0.39749,-1.39102,-0.70783,-1.05051,0.02436,-0.30176
"0",0.00040,0.22683,-0.07437,0.11326,-0.29569,0.07736,-0.76738,-1.58923,-0.73386,0.28835,-0.28722
"0",0.00206,0.01933,0.16813,0.42983,-0.57033,0.34706,-1.16535,-0.99517,-0.71988,0.28678,-0.19976
"0",0.00178,0.30128,0.06797,-0.02267,-0.23923,0.15598,-0.99515,-1.48116,-0.83220,0.49654,-0.35531
"0",0.00186,0.00801,0.04515,0.04417,-0.24186,-0.03105,-0.69432,-1.55379,-0.73786,0.49784,-0.10100
"0",0.00176,-0.15182,-0.07032,0.29220,-0.33544,-0.01748,-0.59419,-1.68294,-0.66211,0.43358,0.01527
"0",0.00153,0.18396,-0.00241,0.17158,-0.40423,0.01662,-0.66741,-1.58765,-0.64863,0.52226,-0.22787
"0",0.00211,0.02114,-0.13911,0.35164,-0.39836,0.07494,-0.67183,-1.68082,-0.63684,0.39840,-0.12764
"0",0.00126,0.19672,-0.22676,-0.15847,-0.33000,0.00335,-0.77695,-1.44542,-0.76170,0.56759,-0.25033
"0",0.00112,0.02556,-0.19282,-0.15813,-0.39816,0.01129,-0.78880,-1.45053,-0.75523,0.66390,-0.12509
"0",-0.00036,-0.16356,0.41224,0.62104,0.70328,-1.29767,-0.05516,1.55244,-0.90886,0.69643,0.23561
"1",-0.00186,-0.00673,0.34706,0.74035,-0.30330,-0.49605,-0.12345,-1.66968,-0.46200,1.95658,0.11157
"0",-0.00152,-0.07504,-0.53833,0.75436,-0.70408,-0.04383,-0.39255,-1.46020,-0.17002,1.50110,0.04022
"0",0.00038,-0.22226,-0.32488,-0.06163,0.73505,-0.71609,-0.77237,1.09214,-1.18191,0.30729,0.10796
"0",-0.00092,-0.09568,0.50451,0.26280,0.37080,-0.93348,-0.38801,1.09816,-1.08914,0.01577,0.07527
"1",0.00233,0.08269,0.49256,-0.53725,-1.22940,-1.61361,0.22990,-1.56925,-1.43322,4.81930,0.32835
"1",0.00098,0.12115,0.30629,-0.72275,0.51003,-0.88476,1.07949,-0.90081,0.71750,-1.10272,-0.01323
"1",0.00063,-0.11271,0.20527,-0.56843,0.65418,-0.64753,0.73304,-0.99804,0.51651,-1.29778,0.08649
"1",0.00031,-0.14251,-0.01053,-0.54757,0.25588,-0.54719,0.76104,-0.97321,0.71047,-1.21069,0.09748
"1",0.00075,-0.14389,0.17373,-0.75650,0.44908,-0.97621,1.29753,-0.88590,0.87689,-1.17438,0.19649
"1",0.00095,0.36150,0.29982,-0.74413,0.49192,-0.67419,0.77929,-0.83556,0.65733,-1.10792,-0.23263
"1",0.00072,0.10868,0.16920,-0.74605,0.45914,-0.85328,1.09895,-0.86547,0.79770,-1.16782,-0.01266
"0",0.00082,-0.16616,-0.66739,0.40720,-0.59709,-1.07219,1.15890,-1.89495,-0.02155,0.32967,0.27107
"1",-0.00088,-0.12945,0.31654,0.15204,0.19252,-0.66828,0.50691,-1.52908,-0.03069,-0.17620,0.14683
"1",0.00153,0.18099,0.39676,0.58789,-0.71039,-0.53032,-0.47315,-1.44704,-1.10736,2.04696,-0.05936
"0",0.00181,-0.17014,-0.14637,0.97751,-0.58928,-0.02730,-0.55466,-1.21874,-0.67259,0.11257,0.01305
"1",0.00201,-0.13097,0.51621,1.64797,-0.46618,1.32759,1.21122,-1.97143,-0.85043,0.95109,0.13744
"1",0.00180,-0.15061,0.16895,1.31031,-0.38149,1.22705,0.17387,-1.84315,-0.62717,0.14412,-0.00842
"1",0.00191,0.14501,0.16656,1.43160,-0.36601,1.81279,1.97800,-1.74215,-0.84061,0.52507,-0.05020
"1",0.00188,0.14455,0.10028,1.38770,-0.36567,1.86062,1.22361,-1.74942,-0.91901,0.41601,-0.14127
"1",0.00181,-0.13770,0.22344,1.29591,-0.32295,1.86673,1.21307,-1.72681,-0.91328,0.31376,0.05348
"1",0.00014,0.10294,0.42527,-0.45086,0.41551,-1.15660,1.23195,-1.44831,0.13118,-1.16002,0.03697
"1",-0.00035,-0.09918,0.77032,0.33770,0.24002,-0.83569,0.49755,-1.54722,-0.21109,0.51134,0.19330
"0",0.00059,-0.14648,0.13685,0.43714,0.00493,2.08269,1.15229,-0.78109,-1.03767,-1.12002,-0.05484
"1",-0.00024,-0.07085,0.20535,-0.44605,0.97788,-0.64213,0.70963,-1.16830,0.32147,-1.86428,0.02473
"1",-0.00029,-0.13475,0.18124,-0.36197,0.48305,-0.50180,0.79680,-1.12433,0.68671,-1.82939,0.06288
"1",-0.00006,-0.08585,0.58414,-0.54782,0.51772,-0.86553,0.66143,-1.41925,-0.18812,-1.09257,0.09721
"1",0.00014,0.16764,0.50233,-0.49219,0.36894,-0.76492,0.70190,-1.35833,0.04097,-1.24013,-0.09947
"1",0.00014,0.30701,0.48497,-0.41654,0.45039,-1.16538,1.24160,-1.46328,0.11958,-1.20963,-0.10710
"1",0.00027,0.17570,0.45466,-0.57300,0.23535,-0.37025,0.18616,-1.22722,0.00309,-1.21566,-0.19258
"1",0.00065,-0.14146,0.20866,-0.83654,0.43857,-0.28520,0.19652,-0.70589,0.50203,-1.06786,0.03220
"1",0.00084,0.03397,0.46695,-1.00580,0.08145,-0.21829,0.30620,-0.61368,0.82495,-1.15832,-0.09294
"1",0.00036,-0.16154,-0.00447,-1.01604,-0.09815,0.57497,-0.72672,-0.48003,0.63905,-1.22624,-0.14199
"1",0.00037,0.12765,0.31240,-0.64038,0.74766,-0.76155,0.69398,-0.95050,0.37013,-0.88397,-0.04899
"1",0.00101,-0.10488,0.33108,-0.77707,0.43846,-0.85408,1.08269,-0.87186,0.78471,-1.13484,0.14219
"1",0.00098,0.11735,0.30923,-0.73025,0.50213,-0.88072,1.08201,-0.89284,0.73162,-1.10923,-0.01109
"1",0.00100,-0.14054,0.33244,-0.77912,0.42893,-0.85423,1.08041,-0.87807,0.77745,-1.12961,0.16743
