DEP,X11,X10,X9,X8,X7,X6,X5,X4,X3,X2,X1
"0",0.99612,-0.12022,3.13231,0.60054,4.07502,33.00000,121.33334,7021.51123,1566.94067,4799.17139,18394.39648
"0",1.13632,-0.07083,3.37847,0.51650,4.38334,141.33333,97.00000,1042.31348,1977.65076,1031.83765,15821.89258
"0",1.52231,-0.34862,3.08722,0.32053,4.21996,33.00000,161.33333,14505.76758,11573.90430,2966.47607,16196.49121
"0",0.96141,-0.00216,3.19574,0.23214,4.18729,48.00000,130.66667,2084.62695,531.47766,607.76794,17955.04102
"0",1.68934,-0.72931,2.40696,-0.28157,3.85022,104.33334,101.33334,2399.58569,2211.08081,4087.67627,15695.73145
"0",1.48908,-0.81488,2.70035,0.36274,3.70602,100.00000,101.33334,14409.58301,3693.96826,3766.77710,15739.96875
"0",1.54811,-0.68942,2.34087,-0.23019,3.91432,81.33334,85.00000,3478.89185,6297.16064,17555.48047,14299.08203
"0",1.90686,-0.27270,2.96436,0.33843,4.19302,54.66667,109.00000,8402.10645,6358.96631,6462.34326,15766.86426
"0",1.67684,-0.54665,2.74387,0.25538,3.98774,28.00000,127.33334,4746.81934,13148.85742,14491.53125,19516.60547
"0",1.83316,-0.44684,2.66757,0.18370,4.06286,110.00000,134.33333,6000.32227,9876.16016,14273.98730,21768.63477
"0",1.80963,-0.53701,2.78208,0.11330,4.13189,176.66667,162.66667,37740.38281,2624.47827,27406.30273,18194.86328
"0",1.61313,-0.84943,2.18226,-0.04621,3.52856,147.00000,157.66667,33109.49219,147.40538,23874.66602,15364.84570
"0",1.79211,-0.72853,2.73888,0.19969,3.97900,132.00000,157.66667,36824.21094,0.00000,25169.65820,19271.80859
"0",1.74370,-0.66094,2.66505,0.29801,4.05737,92.00000,109.00000,25347.72656,2612.03003,13704.73730,16954.18164
"0",1.58496,-0.92951,2.53044,0.16005,3.85774,148.00000,118.00000,25580.67383,1474.05383,17461.78320,16424.95508
